property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,estimatedPrice
10063080,18551 E Tanforan Pl,Aurora,CO,80015,2,2.0,1695,2590.0,39.62965,-104.7736,Cherry Creek 5 School District,424966.67
10063099,11948 Lavinia Way,Northglenn,CO,80233,2,2.0,1776,2395.0,39.91279,-104.96453,Adams 12 Five Star Schools,424380.0
10063101,3922 Licorice Ct,Castle Rock,CO,80109,3,3.0,2151,2788.0,39.41599,-104.90481,Douglas County RE 1 School District,449999.67
10063101,3922 Licorice Ct,Castle Rock,CO,80109,3,3.0,2151,2895.0,39.41599,-104.90481,Douglas County RE 1 School District,504974.95
10063129,13420 W 73rd Ave,Arvada,CO,80005,3,3.0,2267,3220.0,39.8295,-105.14905,Jefferson County R-1 School District,571633.33
10063139,5361 S Hickory St,Littleton,CO,80120,4,2.0,2250,2700.0,39.61946,-105.00021,Littleton 6 School District,468333.33
10063142,19106 E Carmel Cir,Aurora,CO,80011,3,3.0,2148,2375.0,39.74906,-104.76429,Adams-Arapahoe 28J School District,399670.0
10063142,19106 E Carmel Cir,Aurora,CO,80011,3,3.0,2148,2550.0,39.74906,-104.76429,Adams-Arapahoe 28J School District,390000.0
10063145,9954 Columbine St,Thornton,CO,80229,5,2.0,2022,2510.0,39.87702,-104.95707,Mapleton 1 School District,455000.0
10063162,17898 E Arizona Ave,Aurora,CO,80017,2,2.0,2012,2475.0,39.69421,-104.77842,Adams-Arapahoe 28J School District,295827.5
10063162,17898 E Arizona Ave,Aurora,CO,80017,2,2.0,2012,2492.0,39.69421,-104.77842,Adams-Arapahoe 28J School District,247333.33
10063166,21480 E 44th Ave,Denver,CO,80249,3,3.0,1876,2704.0,39.77735,-104.73886,Denver County 1 School District,414933.33
10063180,8141 Stuart St,Westminster,CO,80031,3,2.0,1802,2497.0,39.84399,-105.04689,Westminster 50 School District,423333.33
10063181,8011 Stuart Pl,Westminster,CO,80031,3,2.0,1920,2550.0,39.84268,-105.04667,Westminster 50 School District,396666.67
10063182,2280 Mable Ave,Denver,CO,80229,3,1.0,2450,2195.0,39.84991,-104.9599,Mapleton 1 School District,385000.0
10063231,981 S Wheeling St,Aurora,CO,80012,3,1.0,1416,2068.0,39.69783,-104.83438,Adams-Arapahoe 28J School District,380575.0
10063263,301 S Leyden St,Denver,CO,80224,3,1.5,1881,2645.0,39.71014,-104.91557,Denver County 1 School District,616895.0
10063274,19743 E 49th Ave,Denver,CO,80249,2,2.5,1524,2395.0,39.78557,-104.75974,Denver County 1 School District,477966.67
10063278,6362 Freeport Dr,Highlands Ranch,CO,80130,3,2.0,1882,2595.0,39.55345,-104.9152,Douglas County RE 1 School District,494333.33
10063279,16823 Blue Mist Cir,Parker,CO,80134,3,2.0,2176,2575.0,39.56166,-104.79365,Douglas County RE 1 School District,402000.0
10063283,11798 W Marlowe Ave,Morrison,CO,80465,4,2.5,2404,2900.0,39.632,-105.129,Jefferson County R-1 School District,429937.5
10063283,11798 W Marlowe Ave,Morrison,CO,80465,4,2.5,2404,2933.0,39.632,-105.129,Jefferson County R-1 School District,405000.0
10063301,7407 Shoreham Dr,Castle Pines,CO,80108,4,2.5,3528,3431.0,39.47021,-104.89244,Douglas County RE 1 School District,633333.33
10063301,7407 Shoreham Dr,Castle Pines,CO,80108,4,2.5,3528,3595.0,39.47021,-104.89244,Douglas County RE 1 School District,633129.35
10063321,1840 S Welch Cir,Lakewood,CO,80228,4,3.0,1955,3175.0,39.684,-105.145,Jefferson County R-1 School District,573790.65
10063354,9735 Garwood St,Littleton,CO,80125,3,3.0,1327,2100.0,39.47512,-105.06784,Douglas County RE 1 School District,418333.33
10063380,3804 S Rome Way,Aurora,CO,80018,4,3.0,2349,2785.0,39.64753,-104.73028,Cherry Creek 5 School District,463333.33
10063388,206 N Coolidge Way,Aurora,CO,80018,4,2.5,3114,3029.0,39.72117,-104.70905,Adams-Arapahoe 28J School District,529966.67
10063391,14679 E Radcliff Pl,Aurora,CO,80015,5,2.0,2100,2650.0,39.6373,-104.81717,Cherry Creek 5 School District,493666.67
10063438,12858 Capital Creek St,Parker,CO,80134,3,2.5,2085,2814.0,39.48156,-104.77473,Douglas County RE 1 School District,502333.33
10063789,7375 Braun Way,Arvada,CO,80005,3,3.0,1967,2845.0,39.83056,-105.15157,Jefferson County R-1 School District,564633.33
10063940,13157 E Dakota Ave,Aurora,CO,80012,3,2.0,1679,2305.0,39.70836,-104.83612,Adams-Arapahoe 28J School District,433300.0
10063957,16166 E Exposition Dr,Aurora,CO,80017,3,2.0,1920,2625.0,39.70348,-104.79943,Adams-Arapahoe 28J School District,408300.0
10063961,10530 E 10th Ave,Aurora,CO,80010,3,3.0,2240,2590.0,39.73082,-104.86475,Adams-Arapahoe 28J School District,381666.67
10063963,3591 Morning Glory Dr,Castle Rock,CO,80109,3,2.5,2172,2768.0,39.41661,-104.89987,Douglas County RE 1 School District,473333.33
10063967,17154 E Wagontrail Pkwy,Aurora,CO,80015,3,2.0,1144,2475.0,39.62949,-104.78752,Cherry Creek 5 School District,388133.65
10063970,4702 Orleans St,Denver,CO,80249,3,2.5,1709,2490.0,39.7814,-104.73679,Denver County 1 School District,358300.0
10063975,3625 Fairfax St,Denver,CO,80207,3,1.5,1355,2365.0,39.76798,-104.92849,Denver County 1 School District,550100.0
10063986,10744 Moore Cir,Westminster,CO,80021,3,1.5,1632,2475.0,39.89202,-105.11254,Jefferson County R-1 School District,423000.0
10064012,1670 S Allison St,Lakewood,CO,80232,3,2.0,1860,2899.0,39.68662,-105.08608,Jefferson County R-1 School District,423570.0
10064013,8497 Wild Alfalfa Pl,Parker,CO,80134,4,2.0,1668,2300.0,39.56277,-104.79805,Douglas County RE 1 School District,428333.33
10064036,176 Monares Ln,Erie,CO,80516,5,4.0,2645,2899.0,40.04116,-105.0387,St. Vrain Valley RE 1J School District,454666.67
10064043,3690 Magnolia St,Denver,CO,80207,3,1.0,1544,2165.0,39.76843,-104.91145,Denver County 1 School District,489966.67
