property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,point_pair,districtMatch,estimatedPrice,annualTaxes,costofMoney,maintenance,ROI,management
10062934,8945 Field St #64,Westminster,CO,80021,2,2.0,1340,2095.0,39.85907,-105.09907,"[-105.09907, 39.85907]",Jefferson County R-1 School District,354162.5,2125.0,14166.5,3142.5,3694.7999999999993,2011.2
10062941,4751 Carson St,Denver,CO,80239,2,1.0,1513,2085.0,39.78123,-104.83142,"[-104.83142, 39.78123]",Denver County 1 School District,375490.0,2253.0,15019.6,3127.5,2618.2999999999993,2001.6000000000001
10062992,9174 Lander St,Westminster,CO,80031,3,2.0,1850,2595.0,39.86244,-105.03037,"[-105.03037, 39.86244]",Westminster 50 School District,393130.0,2359.0,15725.2,3892.5,6672.0999999999985,2491.2000000000003
10062993,1360 S Kendall St,Lakewood,CO,80232,3,2.0,1820,2568.0,39.693,-105.065,"[-105.065, 39.693]",Jefferson County R-1 School District,450325.0,2702.0,18013.0,3852.0,3783.720000000001,2465.28
10063013,5188 Duluth Ct,Denver,CO,80239,4,2.0,1576,2305.0,39.78765,-104.8184,"[-104.8184, 39.78765]",Denver County 1 School District,394280.0,2366.0,15771.2,3457.5,3852.5,2212.8
10063014,5564 Worchester St,Denver,CO,80239,3,2.0,1680,2375.0,39.79604,-104.83049,"[-104.83049, 39.79604]",Denver County 1 School District,367745.0,2206.0,14709.8,3562.5,5741.700000000001,2280.0
10063041,3787 S Quintero Cir,Aurora,CO,80013,4,2.0,1738,2530.0,39.64839,-104.78744,"[-104.78744, 39.64839]",Cherry Creek 5 School District,341477.5,2049.0,13659.1,3795.0,8428.099999999999,2428.8
10063072,7279 Dome Rock Rd,Littleton,CO,80125,3,2.0,1897,2365.0,39.46731,-105.07512,"[-105.07512, 39.46731]",Douglas County RE 1 School District,576265.0,3458.0,23050.6,3547.5,-3946.5,2270.4
10063080,18551 E Tanforan Pl,Aurora,CO,80015,2,2.0,1695,2590.0,39.62965,-104.7736,"[-104.7736, 39.62965]",Cherry Creek 5 School District,384242.45,2305.0,15369.7,3885.0,7033.9000000000015,2486.4
10063129,13420 W 73rd Ave,Arvada,CO,80005,3,3.0,2267,3220.0,39.8295,-105.14905,"[-105.14905, 39.8295]",Jefferson County R-1 School District,617345.0,3704.0,24693.8,4830.0,2321.0,3091.2000000000003
10063139,5361 S Hickory St,Littleton,CO,80120,4,2.0,2250,2700.0,39.61946,-105.00021,"[-105.00021, 39.61946]",Littleton 6 School District,333780.0,2003.0,13351.2,4050.0,10403.8,2592.0
10063142,19106 E Carmel Cir,Aurora,CO,80011,3,3.0,2148,2599.0,39.74906,-104.76429,"[-104.76429, 39.74906]",Adams-Arapahoe 28J School District,388080.0,2328.0,15523.2,3898.5,6943.259999999998,2495.04
10063145,9954 Columbine St,Thornton,CO,80229,5,2.0,2022,2510.0,39.87702,-104.95707,"[-104.95707, 39.87702]",Mapleton 1 School District,411994.95,2472.0,16479.8,3765.0,4993.5999999999985,2409.6
10063166,21480 E 44th Ave,Denver,CO,80249,3,3.0,1876,2704.0,39.77735,-104.73886,"[-104.73886, 39.77735]",Denver County 1 School District,370284.45,2222.0,14811.38,4056.0,8762.779999999999,2595.84
10063181,8011 Stuart Pl,Westminster,CO,80031,3,2.0,1920,2550.0,39.84268,-105.04667,"[-105.04667, 39.84268]",Westminster 50 School District,302114.4,1813.0,12084.58,3825.0,10429.419999999998,2448.0
10063182,2280 Mable Ave,Denver,CO,80229,3,1.0,2450,2195.0,39.84991,-104.9599,"[-104.9599, 39.84991]",Mapleton 1 School District,325653.65,1954.0,13026.15,3292.5,5960.1500000000015,2107.2
10063274,19743 E 49th Ave,Denver,CO,80249,2,2.5,1524,2395.0,39.78557,-104.75974,"[-104.75974, 39.78557]",Denver County 1 School District,419530.0,2517.0,16781.2,3592.5,3550.0999999999985,2299.2000000000003
10063278,6362 Freeport Dr,Highlands Ranch,CO,80130,3,2.0,1882,2595.0,39.55345,-104.9152,"[-104.9152, 39.55345]",Douglas County RE 1 School District,438285.0,2630.0,17531.4,3892.5,4594.899999999998,2491.2000000000003
10063279,16823 Blue Mist Cir,Parker,CO,80134,3,2.0,2176,2575.0,39.56166,-104.79365,"[-104.79365, 39.56166]",Douglas County RE 1 School District,386095.0,2317.0,15443.8,3862.5,6804.700000000001,2472.0
10063354,9735 Garwood St,Littleton,CO,80125,3,3.0,1327,2550.0,39.47512,-105.06784,"[-105.06784, 39.47512]",Douglas County RE 1 School District,473585.0,2842.0,18943.4,3825.0,2541.5999999999985,2448.0
