property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,estimatedPrice,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement
10062886,2416 S Memphis Way,Aurora,CO,80013,4,2.0,1764,2415.0,39.67214,-104.79639,Adams-Arapahoe 28J School District,376925.0,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10062907,11644 Community Center Dr Unit # 126,Denver,CO,80233,4,3.0,2130,2420.0,39.90763,-104.98418,Adams 12 Five Star Schools,321545.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10062918,1360 S Tejon St,Denver,CO,80223,3,2.0,1887,2880.0,39.692,-105.01143,Denver County 1 School District,420979.9,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10062934,8945 Field St #64,Westminster,CO,80021,2,2.0,1340,2095.0,39.85907,-105.09907,Jefferson County R-1 School District,343912.5,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10062936,4326 Wyandot St,Denver,CO,80211,3,2.0,1752,2887.0,39.776,-105.01437,Denver County 1 School District,720665.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10062941,4751 Carson St,Denver,CO,80239,2,1.0,1513,2085.0,39.78123,-104.83142,Denver County 1 School District,386685.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10062992,9174 Lander St,Westminster,CO,80031,3,2.0,1850,2595.0,39.86244,-105.03037,Westminster 50 School District,403129.95,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69
10062993,1360 S Kendall St,Lakewood,CO,80232,3,2.0,1820,2568.0,39.693,-105.065,Jefferson County R-1 School District,450325.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10063013,5188 Duluth Ct,Denver,CO,80239,4,2.0,1576,2305.0,39.78765,-104.8184,Denver County 1 School District,397735.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10063014,5564 Worchester St,Denver,CO,80239,3,2.0,1680,2375.0,39.79604,-104.83049,Denver County 1 School District,371995.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10063041,3787 S Quintero Cir,Aurora,CO,80013,4,2.0,1738,2530.0,39.64839,-104.78744,Cherry Creek 5 School District,370002.5,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
