Unnamed: 0,address,city,zip,beds,baths,sqft,listPrice,taxes,hoaFees,hoaFreq,lat,lng,elementarySchool,middleSchool,highSchool,yearly_hoa,costofMoney,districtMatch,RentperSqFt,market_rent,maintenance,management,ROI,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement
89,1201 S Sherman Street,Denver,80210,4.0,2.0,1728,698000,2971,0,N/A,39.69473603,-104.9853339,McKinley-Thatcher,Grant,South,0,27920.0,Denver County 1 School District,1.46,2522.88,3784.32,2421.9648,-6822.72,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
90,5593 S Ward Way,Littleton,80127,4.0,3.0,2394,695000,2933,49,Monthly,39.61494778,-105.13958986,Mount Carbon,Summit Ridge,Dakota Ridge,588,27800.0,Jefferson County R-1 School District,1.61,3854.34,5781.51,3700.1664,5449.4,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
91,520 Chelan Street,Golden,80401,3.0,2.0,1562,695000,2615,0,N/A,39.72436829,-105.21089987,Shelton,Bell,Golden,0,27800.0,Jefferson County R-1 School District,1.61,2514.82,3772.2300000000005,2414.2272000000003,-6423.62,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
92,3034 S Sherman Street,Englewood,80113,6.0,4.0,3402,695000,2528,0,N/A,39.66130406,-104.98498464,Charles Hay,Englewood,Englewood,0,27800.0,Englewood 1 School District,,,,,,61.99374999999999,2.9399999999999995,1.11625,40.55875,0.26625,0.4075,5.03,49.68625,-26.375
93,4900 W Stanford Avenue,Denver,80236,4.0,3.0,2154,695000,1550,0,N/A,39.63551445,-105.05042568,Kaiser,Strive Federal,John F. Kennedy,0,27800.0,Denver County 1 School District,1.46,3144.84,4717.26,3019.0464,651.77,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
94,1520 Jackson Street,Golden,80401,2.0,1.0,1086,695000,2287,0,N/A,39.75278723,-105.217555,Mitchell,Bell,Golden,0,27800.0,Jefferson County R-1 School District,1.61,1748.46,2622.69,1678.5216,-13406.69,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
95,1730 Zinnia Street,Golden,80401,3.0,3.0,2880,695000,3880,0,N/A,39.74414208,-105.14469017,Stober,Everitt,Wheat Ridge,0,27800.0,Jefferson County R-1 School District,1.61,4636.8,6955.200000000001,4451.328,12555.07,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
96,1512 Ulysses Street,Golden,80401,4.0,4.0,2676,688000,2748,0,N/A,39.74104564,-105.19321817,Shelton,Bell,Golden,0,27520.0,Jefferson County R-1 School District,1.61,4308.360000000001,6462.540000000001,4136.025600000001,10833.75,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
97,18906 E Ida Drive,Aurora,80015,5.0,4.0,3613,687000,3688,64,Monthly,39.61002202,-104.7668914,Rolling Hills,Falcon Creek,Grandview,768,27480.0,Cherry Creek 5 School District,1.45,5238.849999999999,7858.275,5029.296,18042.63,31.316206896551716,10.956379310344833,8.528620689655174,20.997586206896553,0.5799999999999998,0.26362068965517244,8.194137931034483,50.48,-29.53448275862069
98,3391 S Eudora Street,Denver,80222,3.0,3.0,1420,687000,1397,0,N/A,39.6550769,-104.93085846,Bradley,Hamilton,Thomas Jefferson,0,27480.0,Denver County 1 School District,1.46,2073.2,3109.7999999999997,1990.272,-9098.67,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
99,3821 Xavier Street,Denver,80212,4.0,2.0,1970,685000,2681,0,N/A,39.76986396,-105.04997071,Centennial,Strive Sunnyside,North,0,27400.0,Denver County 1 School District,1.46,2876.2,4314.299999999999,2761.1519999999996,-2642.05,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
