property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng
10064214,5252 E 111th Pl,Thornton,CO,80233,3,2.0,2230,2850.0,39.89775,-104.92555
10064246,8485 Prairie Clover Way,Parker,CO,80134,3,2.0,1576,2330.0,39.56301,-104.79547
10064269,13115 Mercury Dr,Littleton,CO,80124,3,2.0,1769,2599.0,39.55175,-104.89382
10064290,2668 Calkins Pl,Broomfield,CO,80020,3,3.5,1974,2585.0,39.92654,-105.01928
10064296,5677 S Oak St,Littleton,CO,80127,4,2.0,1808,2700.0,39.613,-105.12
10064325,12386 Roslyn Way,Thornton,CO,80602,3,2.5,4198,3385.0,39.92025,-104.89972
10064326,4558 Biscay St,Denver,CO,80249,3,2.0,1799,2385.0,39.7791,-104.76667
10064327,9200 Newton St,Westminster,CO,80031,3,2.0,2262,2745.0,39.86451,-105.03621
10064377,11027 Chesmore St,Highlands Ranch,CO,80130,3,2.5,2626,2925.0,39.51553,-104.94105
10064398,22226 E Oberlin Pl,Aurora,CO,80018,3,2.5,2998,2800.0,39.64165,-104.72837
10064416,8277 Quay Ct,Arvada,CO,80003,4,2.5,2032,2645.0,39.846,-105.073
10064529,9499 Sherrelwood Ln,Highlands Ranch,CO,80126,4,3.0,2049,2650.0,39.54443,-104.97537
10064536,12586 Country Meadows Dr,Parker,CO,80134,3,3.0,1548,2345.0,39.49641,-104.76361
10064580,3280 Queen Ct,Broomfield,CO,80020,3,3.0,1739,2525.0,39.92959,-105.02897
10064593,6424 W 115th Ave,Westminster,CO,80020,3,2.0,1344,2199.0,39.90394,-105.06804
10064607,13474 Raritan Way,Westminster,CO,80234,3,2.0,1725,2751.0,39.93982,-105.00973
10064613,11303 Haswell Ct,Parker,CO,80134,4,2.5,1687,2595.0,39.51924,-104.78172
10064617,10820 Utica Ct,Westminster,CO,80031,3,2.0,1509,2550.0,39.89445,-105.04502
10064633,10414 Strasburg Way,Parker,CO,80134,3,4.0,2104,2770.0,39.52784,-104.7872
10064659,13561 Vallejo St,Westminster,CO,80234,3,2.0,1407,2325.0,39.94125,-105.01434
10064665,12116 Grape St,Thornton,CO,80241,4,3.0,1813,2390.0,39.91627,-104.92404
10064666,13340 Cherry Cir,Thornton,CO,80241,4,3.5,2036,2735.0,39.938,-104.93421
10066638,845 W 101st Pl,Northglenn,CO,80260,3,2.0,900,2100.0,39.88014,-104.9973
10066790,8661 Red Clover Ct,Parker,CO,80134,3,2.0,1490,2446.0,39.55985,-104.79983
10066807,8697 W 86th Cir,Arvada,CO,80005,4,2.0,924,2340.0,39.854,-105.09
10066852,8736 Greengrass Way,Parker,CO,80134,3,2.0,1471,2450.0,39.55807,-104.79421
10066854,8738 Snowbird Way,Parker,CO,80134,3,3.0,1307,2380.0,39.55829,-104.79605
10066974,8956 W 88th Pl,Westminster,CO,80021,3,1.5,1325,2300.0,39.85753,-105.09709
