,address,city,zip,beds,baths,sqft,listPrice,taxes,hoaFees,hoaFreq,lat,lng,district,elementarySchool,middleSchool,highSchool
72,7265 W 33rd Avenue,Wheat Ridge,80033,4.0,2.0,"1,800",699900,"$1,598",$0,N/A,39.76369734,-105.07780248,Jefferson County R-1,Stevens,Everitt,Wheat Ridge
73,8113 Ammons Way,Arvada,80005,4.0,4.0,"3,119",699900,"$3,204",$0,N/A,39.84438,-105.08764,Jefferson County R-1,Weber,Moore,Pomona
74,573 E Amherst Place,Englewood,80113,4.0,3.0,"2,256",699900,"$2,369",$0,N/A,39.66538119,-104.98082927,Englewood 1,Charles Hay,Englewood,Englewood
75,2625 Oneida Street,Denver,80207,5.0,4.0,"2,645",699900,"$2,532",$0,N/A,39.75541892,-104.90840737,Denver 1,Smith Renaissance,William (Bill) Roberts,Northfield
76,2505 S Allison Court,Lakewood,80227,5.0,4.0,"3,483",699000,"$3,275",$0,N/A,39.67130589,-105.08734834,Jefferson County R-1,Westgate,Carmody,Bear Creek
77,2618 S Wadsworth Way,Lakewood,80227,4.0,3.0,"2,750",699000,"$2,647",$0,N/A,39.66834666,-105.08198132,Jefferson County R-1,Westgate,Carmody,Bear Creek
78,6871 Upham Street,Arvada,80003,6.0,3.0,"2,478",699000,"$2,752",$0,N/A,39.82176233,-105.07878136,Jefferson County R-1,Secrest,North Arvada,Arvada
79,6447 Independence Court,Arvada,80004,4.0,3.0,"3,080",699000,"$2,747",$0,N/A,39.81483017,-105.10521777,Jefferson County R-1,Fitzmorris,Arvada K-8,Arvada
80,3586 S Holly Street,Denver,80237,4.0,3.0,"2,522",699000,"$2,373",$0,N/A,39.6507369,-104.92256427,Denver 1,Southmoor,Hamilton,Thomas Jefferson
81,6240 E Florida Avenue,Denver,80224,4.0,3.0,"2,007",698900,"$1,249",$0,N/A,39.68917813,-104.91571991,Denver 1,McMeen,Hill,Thomas Jefferson
82,4295 S Braun Court,Morrison,80465,3.0,3.0,"3,033",698900,"$3,226",$120,Annually,39.63746468,-105.15176627,Jefferson County R-1,Kendallvue,Carmody,Bear Creek
83,2800 S Williams Street,Denver,80210,5.0,2.0,"2,097",698000,"$2,849",$0,N/A,39.665897,-104.96628757,Denver 1,Slavens E-8,Merrill,Thomas Jefferson
84,21612 E 60th Avenue,Aurora,80019,4.0,4.0,"3,441",697732,"$1,935",$79,Monthly,39.80820885,-104.75806485,Adams-Arapahoe 28J,Harmony Ridge P-8,Harmony Ridge P-8,Vista Peak
