schoolid,schoolName,lowGrade,highGrade,schoolLevel,rankMovement,hasBoundary,street,city,state,zip,zip4,latitude,longitude,countyName,districtName,index,numberOfStudents,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofWhiteStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,pupilTeacherRatio,year
80378000491,Englewood High School,9,12,High,-16.0,True,3800 S Logan St,Englewood,CO,80113,3723,39.647052,-104.981934,Arapahoe County,Englewood School District No. 1,204,554.0,62.45,1.99,0.9,47.11,45.49,0.36,0.0,4.15,14.9,2020.0
80378001772,Englewood Leadership Academy,6,9,Middle,-2.0,True,3800 S Logan St,Englewood,CO,80113,3723,39.647052,-104.981934,Arapahoe County,Englewood School District No. 1,205,79.0,45.57,1.27,1.27,30.38,64.56,0.0,2.53,0.0,21.3,2020.0
80378006331,Englewood Middle School,7,8,Middle,-62.0,True,3800 S Logan St,Englewood,CO,80110,6555,39.647052,-104.981934,Arapahoe County,Englewood School District No. 1,206,282.0,72.7,3.9,1.06,44.33,43.97,0.71,0.0,6.03,10.7,2020.0
80537000899,Erie Elementary School,PK,5,Elementary,38.0,True,4137 E County Line Rd.,Erie,CO,80516,,40.0503,-105.0565,Boulder County,St. Vrain Valley School District No. Re1J,207,355.0,19.15,1.13,1.13,20.56,72.96,0.56,0.28,3.38,16.5,2020.0
80537001889,Erie High School,9,12,High,-16.0,True,3180 County Road 5,Erie,CO,80516,8605,40.048,-105.0161,Weld County,St. Vrain Valley School District No. Re1J,208,1467.0,8.45,0.95,4.16,12.2,80.57,0.14,0.07,1.91,24.5,2020.0
80537000900,Erie Middle School,6,8,Middle,27.0,True,650 Main Street,Erie,CO,80516,8716,40.0508,-105.0537,Weld County,St. Vrain Valley School District No. Re1J,209,826.0,8.23,0.85,2.91,10.77,83.29,0.0,0.0,2.18,21.0,2020.0
80531000876,Euclid Middle School,6,8,Middle,-9.0,True,777 West Euclid Avenue,Littleton,CO,80120,3406,39.5978,-104.9956,Arapahoe County,Littleton School District No. 6,211,774.0,20.8,1.16,0.9,17.7,74.94,0.52,0.39,4.39,19.7,2020.0
80480000719,Evergreen High School,9,12,High,-7.0,True,29300 Buffalo Road,Evergreen,CO,80439,,39.621819,-105.331754,Jefferson County,Jefferson County School District No. R-1,212,1096.0,6.3,0.46,1.73,5.66,89.23,0.09,0.0,2.83,20.0,2020.0
80480000718,Evergreen Middle School,6,8,Middle,-13.0,True,2059 Hiwan Drive,Evergreen,CO,80439,5907,39.6775,-105.3614,Jefferson County,Jefferson County School District No. R-1,213,689.0,7.26,0.73,0.87,6.24,88.82,0.73,0.0,2.61,18.4,2020.0
80480000720,Everitt Middle School,6,8,Middle,-29.0,True,3900 Kipling Street,Wheat Ridge,CO,80033,4124,39.7706,-105.1068,Jefferson County,Jefferson County School District No. R-1,214,601.0,63.23,1.83,1.66,42.76,47.09,1.66,0.17,4.83,13.9,2020.0
80480000721,Fairmount Elementary School,K,5,Elementary,4.0,True,15975 West 50th Avenue,Golden,CO,80403,1616,39.7883,-105.1783,Jefferson County,Jefferson County School District No. R-1,216,621.0,5.31,0.48,3.38,5.64,86.96,0.64,0.0,2.9,19.9,2020.0
80336000347,Fairview Elementary School,PK,5,Elementary,-113.0,True,2715 West 11th Avenue,Denver,CO,80204,3312,39.7342,-105.0209,Denver County,School District No. 1,217,211.0,98.58,38.39,2.84,49.29,7.58,0.0,0.0,1.9,10.4,2020.0
80723001235,Fairview Elementary School,PK,5,Elementary,-61.0,True,7826 Fairview Drive,Denver,CO,80221,3227,39.8389,-105.0199,Adams County,Westminster Public Schools,218,326.0,80.67,2.15,4.91,79.75,11.04,0.61,0.0,1.53,15.0,2020.0
80249000114,Fairview High School,9,12,High,-2.0,True,1515 Greenbriar Boulevard,Boulder,CO,80305,7043,39.9725,-105.2459,Boulder County,Boulder Valley School District No. Re2,219,2131.0,10.18,0.84,10.09,10.89,70.91,0.38,0.14,6.76,22.5,2020.0
80480001970,Falcon Bluffs Middle School,6,8,Middle,-1.0,True,8449 South Garrison Street,Littleton,CO,80128,6156,39.5634,-105.1025,Jefferson County,Jefferson County School District No. R-1,220,663.0,20.51,0.75,2.41,15.23,75.72,0.15,0.0,5.73,19.2,2020.0
